127.0.0.1, 2020-04-16 09:09:49, GET, /rlabs_111, HTTP/1.1, 200, 0.140626
127.0.0.1, 2020-04-16 09:09:54, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.055773
127.0.0.1, 2020-04-16 09:09:54, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.018475
127.0.0.1, 2020-04-16 09:10:04, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.129405
127.0.0.1, 2020-04-16 09:10:04, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.040987
127.0.0.1, 2020-04-16 09:10:14, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.096662
127.0.0.1, 2020-04-16 09:10:15, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.139028
127.0.0.1, 2020-04-16 09:15:39, GET, /rlabs_111, HTTP/1.1, 303, 0.077291
127.0.0.1, 2020-04-16 09:15:40, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.119881
127.0.0.1, 2020-04-16 09:15:45, GET, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.041753
127.0.0.1, 2020-04-16 09:15:45, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.023226
127.0.0.1, 2020-04-16 09:15:45, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.031988
127.0.0.1, 2020-04-16 09:15:54, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.375065
127.0.0.1, 2020-04-16 09:15:54, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.043492
127.0.0.1, 2020-04-16 09:16:05, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.140714
127.0.0.1, 2020-04-16 09:16:05, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.016342
127.0.0.1, 2020-04-16 09:16:05, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.093183
127.0.0.1, 2020-04-16 09:16:07, POST, /rlabs_111/showPCs/get_Labs, HTTP/1.1, 200, 0.065289
127.0.0.1, 2020-04-16 09:16:11, POST, /rlabs_111/showPCs/get_remoteClients, HTTP/1.1, 200, 1.726239
127.0.0.1, 2020-04-16 09:16:23, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.117355
127.0.0.1, 2020-04-16 09:26:00, POST, /rlabs_111/showPCs/get_Labs, HTTP/1.1, 200, 0.128107
127.0.0.1, 2020-04-16 09:26:02, POST, /rlabs_111/showPCs/get_remoteClients, HTTP/1.1, 200, 1.720908
127.0.0.1, 2020-04-16 09:26:11, POST, /rlabs_111/connectPC/do_reserve, HTTP/1.1, 200, 0.967312
127.0.0.1, 2020-04-16 09:27:31, POST, /rlabs_111/connectPC/check_pc_status, HTTP/1.1, 200, 80.111169
127.0.0.1, 2020-04-16 09:28:07, POST, /rlabs_111/connectPC/check_pc_status, HTTP/1.1, 200, 35.398719
127.0.0.1, 2020-04-16 09:28:07, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.048695
127.0.0.1, 2020-04-16 09:28:07, GET, /rlabs_111/static/images/user.png, HTTP/1.1, 304, 0.000260
127.0.0.1, 2020-04-16 09:28:10, POST, /rlabs_111/connectPC/show_remotePC, HTTP/1.1, 200, 0.018064
127.0.0.1, 2020-04-16 09:28:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
127.0.0.1, 2020-04-16 09:28:19, POST, /rlabs_111/events/getEventsWindowUnload, HTTP/1.1, 200, 0.018049
127.0.0.1, 2020-04-16 09:28:24, POST, /rlabs_111/showPCs/get_Labs, HTTP/1.1, 200, 0.083338
127.0.0.1, 2020-04-16 09:28:25, POST, /rlabs_111/showPCs/get_remoteClients, HTTP/1.1, 200, 0.016626
127.0.0.1, 2020-04-16 09:28:33, POST, /rlabs_111/showPCs/get_Labs, HTTP/1.1, 200, 0.075433
127.0.0.1, 2020-04-16 09:28:34, POST, /rlabs_111/showPCs/get_remoteClients, HTTP/1.1, 200, 0.017560
